Endpoint,Test Type,Location,Provider,Sample Count,Min (ms),Average (ms),Max (ms),Std Dev (ms),Latest (ms),First (ms),Trend (%),Status
"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,7,49,74,185,4252433.16,54,185,-70.81,IMPROVED
"Ashburn, VA [AWS] - DNS",DNS,"Ashburn, VA",AWS,10,60,115,297,19178268.49,89,79,12.66,STEADY
"Ashburn, VA [AWS] - HTTP",HTTP,"Ashburn, VA",AWS,10,112,182,371,34089249.96,133,145,-8.28,STEADY
"Ashburn, VA [AWS] - PING",PING,"Ashburn, VA",AWS,10,14,20,46,6225.21,16,16,0.00,STEADY
Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,7,1087,2166,5437,5131258539192.02,1410,1457,-3.23,STEADY
"Bangkok, TH [GCP] - DNS",DNS,"Bangkok, TH",GCP,2,22,39,56,83521.00,22,56,-60.71,IMPROVED
"Bangkok, TH [GCP] - HTTP",HTTP,"Bangkok, TH",GCP,2,124,136,148,20736.00,124,148,-16.22,STEADY
Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,7,241,425,1509,38276015755.18,244,1509,-83.83,IMPROVED
"Cape Town, ZA [AWS] - DNS",DNS,"Cape Town, ZA",AWS,10,53,76,132,306805.21,64,53,20.75,STEADY
"Cape Town, ZA [AWS] - HTTP",HTTP,"Cape Town, ZA",AWS,10,820,1250,4462,1330265124989.44,863,867,-0.46,STEADY
"Cape Town, ZA [AWS] - PING",PING,"Cape Town, ZA",AWS,10,243,258,294,48708.49,256,294,-12.93,STEADY
"Columbus, OH [AWS] - DNS",DNS,"Columbus, OH",AWS,10,67,91,143,233578.89,84,82,2.44,STEADY
"Columbus, OH [AWS] - HTTP",HTTP,"Columbus, OH",AWS,10,171,204,284,1901365.21,181,178,1.69,STEADY
"Columbus, OH [AWS] - PING",PING,"Columbus, OH",AWS,10,28,33,56,5012.64,29,29,0.00,STEADY
"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,7,648,838,1013,143599136.51,805,1013,-20.53,STEADY
Dubai (UAE),OTHER,Dubai (UAE),N/A,7,221,341,538,164367051.75,538,420,28.10,STEADY
"Dubai, AE [AWS] - DNS",DNS,"Dubai, AE",AWS,10,48,80,160,809820.01,78,62,25.81,STEADY
"Dubai, AE [AWS] - HTTP",HTTP,"Dubai, AE",AWS,10,582,798,1761,16282295924.41,1761,671,162.44,DEGRADED
"Dubai, AE [AWS] - PING",PING,"Dubai, AE",AWS,10,166,181,211,43806.49,167,211,-20.85,STEADY
Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,7,486,520,546,205597.47,486,546,-10.99,STEADY
"Frankfurt, DE [AWS] - DNS",DNS,"Frankfurt, DE",AWS,10,52,111,303,25364317.69,52,80,-35.00,STEADY
"Frankfurt, DE [AWS] - HTTP",HTTP,"Frankfurt, DE",AWS,10,347,426,594,35351348.49,347,426,-18.54,STEADY
"Frankfurt, DE [AWS] - PING",PING,"Frankfurt, DE",AWS,10,91,105,170,379209.64,93,92,1.09,STEADY
George Maddaloni Website,OTHER,George Maddaloni Website,N/A,7,239,257,294,77522.47,256,294,-12.93,STEADY
GitHub,OTHER,GitHub,N/A,7,21,45,150,3450040.90,31,150,-79.33,IMPROVED
Google,OTHER,Google,N/A,7,51,93,245,18306173.47,53,245,-78.37,IMPROVED
Home Router,OTHER,Home Router,N/A,7,41,63,71,7921.00,69,41,68.29,DEGRADED
"Hyderabad, IN [AWS] - DNS",DNS,"Hyderabad, IN",AWS,10,47,78,150,546121.00,65,72,-9.72,STEADY
"Hyderabad, IN [AWS] - HTTP",HTTP,"Hyderabad, IN",AWS,10,822,871,1000,9700110.25,843,864,-2.43,STEADY
"Hyderabad, IN [AWS] - PING",PING,"Hyderabad, IN",AWS,10,252,261,295,25090.56,255,272,-6.25,STEADY
"Jakarta, ID [AWS] - DNS",DNS,"Jakarta, ID",AWS,10,31,94,289,25568192.25,31,46,-32.61,STEADY
"Jakarta, ID [AWS] - HTTP",HTTP,"Jakarta, ID",AWS,10,846,906,1082,31116315.24,859,866,-0.81,STEADY
"Jakarta, ID [AWS] - PING",PING,"Jakarta, ID",AWS,10,254,263,291,13363.36,254,291,-12.71,STEADY
Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,7,43,74,208,9202555.61,43,208,-79.33,IMPROVED
London (UK),OTHER,London (UK),N/A,7,21,60,265,48724388.65,31,265,-88.30,IMPROVED
"London, UK [AWS] - DNS",DNS,"London, UK",AWS,10,51,116,299,21013972.81,85,80,6.25,STEADY
"London, UK [AWS] - HTTP",HTTP,"London, UK",AWS,10,298,393,554,36218731.24,325,420,-22.62,STEADY
"London, UK [AWS] - PING",PING,"London, UK",AWS,10,79,89,109,9682.56,80,80,0.00,STEADY
MA Connect Website,OTHER,MA Connect Website,N/A,7,241,305,372,3406661.22,290,341,-14.96,STEADY
Mastercard Website,OTHER,Mastercard Website,N/A,7,28,66,239,25200400.00,31,239,-87.03,IMPROVED
Melbourne (Australia),OTHER,Melbourne (Australia),N/A,7,21,57,182,6959044.00,31,182,-82.97,IMPROVED
"Melbourne, AU [AWS] - DNS",DNS,"Melbourne, AU",AWS,10,59,79,153,631707.04,61,63,-3.17,STEADY
"Melbourne, AU [AWS] - HTTP",HTTP,"Melbourne, AU",AWS,10,734,791,937,18850358.89,734,866,-15.24,STEADY
"Melbourne, AU [AWS] - PING",PING,"Melbourne, AU",AWS,10,221,229,265,35834.49,221,265,-16.60,STEADY
Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,7,24,64,250,33396841.00,32,250,-87.20,IMPROVED
"Milan, IT [AWS] - DNS",DNS,"Milan, IT",AWS,10,42,75,156,922560.25,42,47,-10.64,STEADY
"Milan, IT [AWS] - HTTP",HTTP,"Milan, IT",AWS,10,375,793,2339,170112362830.24,375,2339,-83.97,IMPROVED
"Milan, IT [AWS] - PING",PING,"Milan, IT",AWS,10,102,112,141,31541.76,103,106,-2.83,STEADY
"Montreal, CA [AWS] - DNS",DNS,"Montreal, CA",AWS,10,55,92,163,697058.01,55,82,-32.93,STEADY
"Montreal, CA [AWS] - HTTP",HTTP,"Montreal, CA",AWS,10,137,181,281,6135033.61,155,152,1.97,STEADY
"Montreal, CA [AWS] - PING",PING,"Montreal, CA",AWS,10,16,22,43,2959.36,18,19,-5.26,STEADY
Mumbai (India),OTHER,Mumbai (India),N/A,7,76,124,315,37356544.00,91,315,-71.11,IMPROVED
"Mumbai, IN [AWS] - DNS",DNS,"Mumbai, IN",AWS,10,59,87,156,393881.76,78,80,-2.50,STEADY
"Mumbai, IN [AWS] - HTTP",HTTP,"Mumbai, IN",AWS,10,666,1377,4737,1989958814281.00,4737,747,534.14,DEGRADED
"Mumbai, IN [AWS] - PING",PING,"Mumbai, IN",AWS,10,200,208,220,2088.49,212,220,-3.64,STEADY
"Osaka, JP [AWS] - DNS",DNS,"Osaka, JP",AWS,10,49,76,151,906875.29,73,49,48.98,STEADY
"Osaka, JP [AWS] - HTTP",HTTP,"Osaka, JP",AWS,10,627,680,823,11924590.24,663,710,-6.62,STEADY
"Osaka, JP [AWS] - PING",PING,"Osaka, JP",AWS,10,188,198,220,12746.41,194,220,-11.82,STEADY
Paris (France),OTHER,Paris (France),N/A,7,50,87,273,33461266.61,52,273,-80.95,IMPROVED
"Paris, FR [AWS] - DNS",DNS,"Paris, FR",AWS,10,47,94,288,20605244.49,59,51,15.69,STEADY
"Paris, FR [AWS] - HTTP",HTTP,"Paris, FR",AWS,10,317,804,2407,155763224892.25,317,1388,-77.16,IMPROVED
"Paris, FR [AWS] - PING",PING,"Paris, FR",AWS,10,86,95,122,34447.36,86,91,-5.49,STEADY
"Portland, OR [AWS] - DNS",DNS,"Portland, OR",AWS,10,71,93,156,346685.44,79,83,-4.82,STEADY
"Portland, OR [AWS] - HTTP",HTTP,"Portland, OR",AWS,10,315,363,492,8707810.81,321,407,-21.13,STEADY
"Portland, OR [AWS] - PING",PING,"Portland, OR",AWS,10,73,82,122,51166.44,73,75,-2.67,STEADY
Pune (India),OTHER,Pune (India),N/A,7,22,49,172,6351120.02,32,172,-81.40,IMPROVED
Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,7,810,840,893,824204.59,815,893,-8.73,STEADY
"Riyadh, SA [AWS] - DNS",DNS,"Riyadh, SA",AWS,10,50,79,149,625206.49,62,86,-27.91,STEADY
"Riyadh, SA [AWS] - HTTP",HTTP,"Riyadh, SA",AWS,10,692,1401,3193,403417300921.96,3193,758,321.24,DEGRADED
"Riyadh, SA [AWS] - PING",PING,"Riyadh, SA",AWS,10,201,214,246,46785.69,205,246,-16.67,STEADY
Router,OTHER,Router,N/A,7,673,676,680,59.51,675,675,0.00,STEADY
"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,7,46,96,259,24423364.00,61,259,-76.45,IMPROVED
"San Jose, CA [AWS] - DNS",DNS,"San Jose, CA",AWS,10,47,87,127,190794.24,82,47,74.47,DEGRADED
"San Jose, CA [AWS] - HTTP",HTTP,"San Jose, CA",AWS,10,314,351,499,8075827.24,319,333,-4.20,STEADY
"San Jose, CA [AWS] - PING",PING,"San Jose, CA",AWS,10,73,84,127,74802.25,76,76,0.00,STEADY
"Seoul, KR [AWS] - DNS",DNS,"Seoul, KR",AWS,10,67,89,164,427977.64,81,80,1.25,STEADY
"Seoul, KR [AWS] - HTTP",HTTP,"Seoul, KR",AWS,10,719,752,846,1303478.89,747,761,-1.84,STEADY
"Seoul, KR [AWS] - PING",PING,"Seoul, KR",AWS,10,210,216,232,1398.76,214,232,-7.76,STEADY
Singapore (Singapore),OTHER,Singapore (Singapore),N/A,7,118,176,344,26169071.04,124,344,-63.95,IMPROVED
"Singapore, SG [AWS] - DNS",DNS,"Singapore, SG",AWS,10,69,117,306,23469180.25,80,77,3.90,STEADY
"Singapore, SG [AWS] - HTTP",HTTP,"Singapore, SG",AWS,10,806,877,1032,31814112.16,843,863,-2.32,STEADY
"Singapore, SG [AWS] - PING",PING,"Singapore, SG",AWS,10,240,251,298,77339.61,241,262,-8.02,STEADY
"Stockholm, SE [AWS] - DNS",DNS,"Stockholm, SE",AWS,10,61,81,158,614342.44,61,72,-15.28,STEADY
"Stockholm, SE [AWS] - HTTP",HTTP,"Stockholm, SE",AWS,10,371,420,513,3863190.25,390,440,-11.36,STEADY
"Stockholm, SE [AWS] - PING",PING,"Stockholm, SE",AWS,10,100,111,157,88030.89,103,101,1.98,STEADY
Sydney (Australia),OTHER,Sydney (Australia),N/A,7,25,66,185,7052059.61,30,185,-83.78,IMPROVED
"Sydney, AU [AWS] - DNS",DNS,"Sydney, AU",AWS,10,65,95,164,540078.01,90,65,38.46,STEADY
"Sydney, AU [AWS] - HTTP",HTTP,"Sydney, AU",AWS,10,721,777,958,38395372.96,730,866,-15.70,STEADY
"Sydney, AU [AWS] - PING",PING,"Sydney, AU",AWS,10,209,215,238,7885.44,209,229,-8.73,STEADY
São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,7,25,125,385,477834617.47,35,330,-89.39,IMPROVED
"São Paulo, BR [AWS] - DNS",DNS,"São Paulo, BR",AWS,10,52,83,156,623942.01,90,52,73.08,DEGRADED
"São Paulo, BR [AWS] - HTTP",HTTP,"São Paulo, BR",AWS,10,430,480,539,837774.09,472,470,0.43,STEADY
"São Paulo, BR [AWS] - PING",PING,"São Paulo, BR",AWS,10,123,134,173,79073.44,125,123,1.63,STEADY
Tokyo (Japan),OTHER,Tokyo (Japan),N/A,7,240,350,960,3838953086.22,245,960,-74.48,IMPROVED
"Tokyo, JP [AWS] - DNS",DNS,"Tokyo, JP",AWS,10,64,93,168,861555.24,90,64,40.62,STEADY
"Tokyo, JP [AWS] - HTTP",HTTP,"Tokyo, JP",AWS,10,640,685,822,14675794.81,651,707,-7.92,STEADY
"Tokyo, JP [AWS] - PING",PING,"Tokyo, JP",AWS,10,179,187,211,9447.84,185,211,-12.32,STEADY
